id_vaca;id_toro;id_cria;celulas_somaticas;produccion_leche;calidad_patas;calidad_ubres;grasa;proteinas;cs_vaca;pl_vaca;pa_vaca;u_vaca;g_vaca;pr_vaca;cs_toro;pl_toro;pa_toro;u_toro;g_toro;pr_toro
V-549;T-5;C-1;50000.0;0.0;4.39;8.05;3.83;3.94;478658.0;0.0;7.07;8.61;3.64;3.61;-2.31;1.68;2.5;8.56;0.15;0.03
V-279;T-12;C-2;54342.0;10.53;6.3;8.17;3.01;3.52;50000.0;29.18;4.51;8.78;3.14;3.21;0.12;-0.63;8.5;6.2;0.0;0.11
V-335;T-13;C-3;104144.0;0.0;6.13;4.29;4.14;4.0;50000.0;24.42;7.95;1.53;3.8;3.72;1.15;-2.01;3.84;7.61;0.12;0.4
V-448;T-3;C-4;1994818.0;80.43;7.27;7.4;3.32;3.69;529394.0;32.25;5.4;8.2;3.17;3.62;2.74;1.31;8.27;7.23;0.26;0.13
V-571;T-15;C-5;221662.0;30.95;7.08;4.34;4.15;3.51;161801.0;6.87;5.88;5.54;4.31;3.53;0.26;3.14;8.77;2.53;0.09;0.22
V-394;T-4;C-6;267072.0;0.0;5.11;5.3;4.54;2.8;389261.0;0.0;3.6;7.85;4.36;2.81;-0.29;-0.63;7.35;2.97;0.63;-0.05
V-175;T-14;C-7;705231.0;153.93;4.82;3.51;4.07;4.0;420109.0;39.36;1.45;2.73;3.91;4.0;0.71;3.14;8.11;4.35;0.13;0.13
V-196;T-12;C-8;55805.0;0.23;7.73;3.54;3.43;3.0;50000.0;0.58;8.3;1.44;3.38;3.15;0.12;-0.63;8.5;6.2;0.0;0.11
V-276;T-13;C-9;433231.0;0.0;3.2;5.66;4.36;3.77;222320.0;18.56;2.05;4.18;4.07;3.55;1.15;-2.01;3.84;7.61;0.12;0.4
V-370;T-15;C-10;62119.0;161.12;7.62;4.31;3.92;3.45;50000.0;36.38;7.32;6.88;3.67;3.2;0.26;3.14;8.77;2.53;0.09;0.22
V-135;T-14;C-11;297336.0;87.24;7.26;6.06;3.81;4.0;166508.0;21.54;7.79;6.74;4.03;4.0;0.71;3.14;8.11;4.35;0.13;0.13
V-384;T-3;C-12;1115057.0;24.86;4.9;4.63;3.0;3.61;328283.0;10.37;1.92;1.63;2.98;3.78;2.74;1.31;8.27;7.23;0.26;0.13
V-467;T-10;C-13;267012.0;59.92;5.01;7.69;4.02;3.49;188996.0;56.12;7.16;8.68;3.99;3.55;0.3;0.02;2.17;5.74;0.32;0.07
V-34;T-8;C-14;1181997.0;0.0;7.22;3.04;3.66;3.24;328060.0;8.75;7.71;4.36;3.61;3.36;2.96;-1.56;7.53;1.73;0.03;0.08
V-322;T-10;C-15;377607.0;21.93;2.22;5.92;3.28;3.89;267552.0;22.72;1.88;6.84;3.26;3.56;0.3;0.02;2.17;5.74;0.32;0.07
